stock,minute,r2_linear,r2_quadratic,a,b
CRWV,2025-04-14 16:26:00+00:00,0.9862802798497435,0.9926442584997115,-2.5245117124018765e-08,0.00010724670937354181
CRWV,2025-04-16 19:41:00+00:00,0.9357448371026661,0.9873145160681616,-2.731868989596176e-07,0.00035532973465926743
CRWV,2025-04-28 17:05:00+00:00,0.9845001011819724,0.9862828659293726,3.690450458631663e-08,0.00010848545772408619
CRWV,2025-04-03 14:31:00+00:00,0.8587976905006495,0.9338200047338293,-3.541806281456497e-07,0.000613213149460382
CRWV,2025-04-29 16:00:00+00:00,0.9711477577967447,0.9721927256396363,1.1064638392443107e-08,7.503847837265743e-05
CRWV,2025-05-02 14:03:00+00:00,0.9544913382595633,0.9780749468205939,-6.136923126569114e-08,0.0001647382897951592
CRWV,2025-04-09 15:16:00+00:00,0.7328469730679563,0.9716433752747932,2.0834934519428057e-07,-0.00012499833437024032
CRWV,2025-04-25 14:41:00+00:00,0.9229967750047744,0.9325953301138499,4.087143649920571e-08,5.056589982857527e-05
CRWV,2025-04-30 17:37:00+00:00,1.0,1.0,0.0,0.0
CRWV,2025-04-23 17:14:00+00:00,0.8443171156045526,0.9956207990306761,1.095330383049226e-07,-4.853671025243606e-05
CRWV,2025-04-15 19:58:00+00:00,1.0,1.0,0.0,0.0
CRWV,2025-04-28 13:45:00+00:00,0.9888810689254841,0.9934830002935333,-4.696486266794023e-08,0.0002261801782107593
CRWV,2025-04-25 15:12:00+00:00,0.9382680362670117,0.9916600006354612,8.3024645347653e-08,7.565814979777833e-07
CRWV,2025-05-02 14:46:00+00:00,0.9846375101914016,0.9926797945974133,-7.274670864844999e-08,0.00022679767293451607
CRWV,2025-04-03 17:28:00+00:00,0.5225755624894102,0.7611157863851183,-1.9145194520867627e-08,2.7382355494424906e-05
CRWV,2025-04-14 17:17:00+00:00,0.9639576985889078,0.9749534598505032,-9.54867706854875e-08,0.0003299455153663073
CRWV,2025-05-01 19:34:00+00:00,0.8465698819658272,0.9745348690678792,-3.608215227996101e-07,0.0004366334061543669
CRWV,2025-05-02 15:23:00+00:00,0.9144539166072789,0.9916657727722549,-1.1889523809520653e-06,0.0007149485714284911
CRWV,2025-05-01 15:35:00+00:00,0.9808627109858366,0.9840741696259505,5.1802387332978825e-09,1.781887368545788e-05
CRWV,2025-04-16 17:48:00+00:00,0.8638641000354502,0.9767411760440726,4.99073129251765e-07,-8.651777210886896e-05
CRWV,2025-04-10 17:56:00+00:00,0.9169488232850248,0.9666847011744145,8.73069804322768e-08,4.63483375386573e-06
CRWV,2025-04-14 13:32:00+00:00,0.930229671381499,0.9944160179683545,-8.909216049640243e-08,0.0001806802815390884
CRWV,2025-04-22 15:57:00+00:00,0.964150141200402,0.9961339982225544,2.8935132567002237e-08,1.0431659806560197e-05
CRWV,2025-04-07 17:49:00+00:00,0.8924375290120747,0.9558212391994263,4.127108999247752e-08,-3.5497701507561093e-06
CRWV,2025-04-03 14:39:00+00:00,0.6964754872843179,0.9272398772123444,-7.022274522680651e-08,0.00010507527533027698
CRWV,2025-04-16 14:37:00+00:00,0.8085908584928854,0.9603678911971598,-2.49733037543449e-07,0.00041030410371087665
CRWV,2025-04-08 19:34:00+00:00,0.9198886963448747,0.9933801754338869,3.2482316329093854e-08,-4.582914156555905e-06
CRWV,2025-04-17 14:00:00+00:00,0.9933684492144494,0.9933763961066507,-2.6120809753882528e-09,0.00023999754859493588
CRWV,2025-04-22 18:25:00+00:00,0.8819951263956364,0.96707951922085,-2.298343482960421e-08,4.314317234554318e-05
CRWV,2025-04-21 17:12:00+00:00,0.8969733146343327,0.9921533221544225,4.459099713255031e-08,-1.1653488332231823e-05
FROG,2025-04-14 14:50:00+00:00,0.9766937618305194,0.977147351607415,9.061435384181829e-09,9.850856981580492e-05
FROG,2025-04-07 14:17:00+00:00,0.9510694248972008,0.9841767292466902,1.980970693694816e-07,6.476657870150529e-05
FROG,2025-04-17 15:24:00+00:00,0.9759794430017575,0.9913047868132489,1.3490387685210006e-07,0.00013492510091826237
FROG,2025-04-23 17:01:00+00:00,0.939376063732644,0.9903716516772466,-4.345560451803404e-08,9.354335322909744e-05
FROG,2025-04-11 18:46:00+00:00,0.9627208466230388,0.975828305923431,2.7949907288581494e-08,3.219058190927036e-05
FROG,2025-04-30 16:07:00+00:00,0.9302619838290076,0.9837673074257072,-1.5627433161345776e-07,0.0003314912488004626
FROG,2025-04-11 18:05:00+00:00,0.9449722189288351,0.9670810398983957,3.559627618833512e-08,2.2410428545350252e-05
FROG,2025-04-21 19:11:00+00:00,0.9039987242088233,0.9803132587659775,7.153822996265981e-08,-1.1860785670199408e-05
FROG,2025-04-10 17:02:00+00:00,0.8451373146249994,0.9733103691215033,1.3628764820534996e-07,-5.3194982959024234e-05
FROG,2025-04-30 15:08:00+00:00,0.9322667025014931,0.9959710981588132,-1.9535780670990883e-07,0.00039711990403036807
FROG,2025-04-14 16:08:00+00:00,0.9308295917003224,0.9797133131189762,3.2764328228153e-08,2.32790088634034e-06
FROG,2025-04-08 13:47:00+00:00,0.9717130216185864,0.9949090500995478,-6.210287910627752e-08,0.00016847129864863794
FROG,2025-04-09 13:55:00+00:00,0.9057262189248285,0.9728769068322062,-2.2889658425746894e-07,0.0004563069818219071
FROG,2025-04-22 14:09:00+00:00,0.976399475331257,0.9770910850889045,-1.3366152712819615e-08,0.0001430558155469248
FROG,2025-05-01 14:48:00+00:00,0.9981286955216369,0.9987169833489848,-6.473031669594608e-09,7.529470660226783e-05
